rank,City,Population2015
1,NewYork,8550405
2,LosAngeles,3971883
3,Chicago,2720546
4,Houston,2296224
5,Philadelphia,1567442
6,Phoenix,1563025
7,SanAntonio,1469845
8,SanDiego,1394928
9,Dallas,1300092
10,SanJose,1026908
11,Austin,931830
12,Jacksonville,868031
13,SanFrancisco,864816
14,Indianapolis,853173
15,Columbus,850106
16,FortWorth,833319
17,Charlotte,827097
18,Seattle,684451
19,Denver,682545
20,ElPaso,681124
21,Detroit,677116
22,Washington,672228
23,Boston,667137
24,Memphis,655770
25,Nashville,654610
26,PortlandOR,632309
27,OklahomaCity,631346
28,LasVegas,623747
29,Baltimore,621849
30,Louisville,615366
31,Milwaukee,600155
32,Albuquerque,559121
33,Tucson,531641
34,Fresno,520052
35,Sacramento,490712
36,KansasCityMO,475378
37,LongBeach,474140
38,Mesa,471825
39,Atlanta,463878
40,ColoradoSprings,456568
41,VirginiaBeach,452745
42,Raleigh,451066
43,Omaha,443885
44,Miami,441003
45,Oakland,419267
46,Minneapolis,410939
47,Tulsa,403505
48,Wichita,389965
49,NewOrleans,389617
50,ArlingtonTX,388125
